1,  A          , ACME Axe Co.                        ,1792,21
2, A          , ACME Axe Co.                        ,4355,34
3, A          , Bar-None Ice Cream Cones            ,78231,1408
4, B          , Candles R-US                        ,2843,65
5, B          , Doggie Accessories                  ,9486,123
6, C          , Evergreen Synthetic Xmas Trees      ,2238,46
7, D          , Frog Hollow Athletic Socks          ,8198,214
8, D          , Frog Hollow Athletic Socks          ,103,12
9, E          , Best Soap & Candle                  ,3883,41
10, E          , Best Soap & Candle                  ,1292,183
11, E          , Best Soap & Candle                  ,902,81
12, E          , Best Soap & Candle                  ,5352,212
13, F          , Farmer Snowplows                    ,12448,256
14, F          , Farmer Snowplows                    ,23984,782
15, F          , Farmer Snowplows                    ,8764,128
16, G          , Gretchen's Organic Chocolates       ,48996,973
17, H          , Hap's Go-Kart Track and Petting Zoo ,1108,87
18, H          , Hap's Go-Kart Track and Petting Zoo ,1872,116